symbol,date,forecast_close
ZION,2017-01-01,31.75
ZION,2017-02-01,31.95
ZION,2017-03-01,32.14
ZION,2017-04-01,32.34
ZION,2017-05-01,32.53
ZION,2017-06-01,32.73
ZION,2017-07-01,32.93
ZION,2017-08-01,33.13
ZION,2017-09-01,33.33
ZION,2017-10-01,33.54
ZION,2017-11-01,33.74
ZION,2017-12-01,33.95
A,2017-01-01,45.29
A,2017-02-01,45.54
A,2017-03-01,45.79
A,2017-04-01,46.04
A,2017-05-01,46.29
A,2017-06-01,46.54
A,2017-07-01,46.79
A,2017-08-01,47.04
A,2017-09-01,47.29
A,2017-10-01,47.54
A,2017-11-01,47.79
A,2017-12-01,48.03
AAL,2017-01-01,49.13
AAL,2017-02-01,49.78
AAL,2017-03-01,50.43
AAL,2017-04-01,51.08
AAL,2017-05-01,51.74
AAL,2017-06-01,52.39
AAL,2017-07-01,53.05
AAL,2017-08-01,53.71
AAL,2017-09-01,54.37
AAL,2017-10-01,55.04
AAL,2017-11-01,55.7
AAL,2017-12-01,56.37
AAP,2017-01-01,182.68
AAP,2017-02-01,184.89
AAP,2017-03-01,187.12
AAP,2017-04-01,189.36
AAP,2017-05-01,191.61
AAP,2017-06-01,193.87
AAP,2017-07-01,196.15
AAP,2017-08-01,198.44
AAP,2017-09-01,200.74
AAP,2017-10-01,203.05
AAP,2017-11-01,205.38
AAP,2017-12-01,207.72
WMT,2017-01-01,67.03
WMT,2017-02-01,66.46
WMT,2017-03-01,65.88
WMT,2017-04-01,65.27
WMT,2017-05-01,64.65
WMT,2017-06-01,64.0
WMT,2017-07-01,63.34
WMT,2017-08-01,62.66
WMT,2017-09-01,61.95
WMT,2017-10-01,61.23
WMT,2017-11-01,60.49
WMT,2017-12-01,59.72
